Event	ID	Name			Wwise Object Path	Notes
	343234584	Play_Take_Damage_Enemy			\Default Work Unit\EnemySfx\Play_Take_Damage_Enemy	
	589308837	Play_Death_Enemy			\Default Work Unit\EnemySfx\Play_Death_Enemy	
	3082387274	Play_Shout_S_Enemy			\Default Work Unit\EnemySfx\Play_Shout_S_Enemy	
	3124083878	Play_Footsteps_Enemy			\Default Work Unit\EnemySfx\Play_Footsteps_Enemy	
	4269470325	Play_Shout_L_Enemy			\Default Work Unit\EnemySfx\Play_Shout_L_Enemy	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	582167837	vocal02_lg_enemy	C:\Users\fhisc\OneDrive\Documents\Projects\Unity\GlobalGameJam-2022\GGJ22 Team Game\GGJ22 Team Game_WwiseProject\.cache\Mac\SFX\vocal02_lg_enemy_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\EnemySfx\Shout_L_Enemy\vocal02_lg_enemy		219326
	684410318	take_damage_enemy	C:\Users\fhisc\OneDrive\Documents\Projects\Unity\GlobalGameJam-2022\GGJ22 Team Game\GGJ22 Team Game_WwiseProject\.cache\Mac\SFX\take_damage_enemy_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\EnemySfx\take_damage_enemy		79896
	690349220	vocal00_lg_enemy	C:\Users\fhisc\OneDrive\Documents\Projects\Unity\GlobalGameJam-2022\GGJ22 Team Game\GGJ22 Team Game_WwiseProject\.cache\Mac\SFX\vocal00_lg_enemy_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\EnemySfx\Shout_L_Enemy\vocal00_lg_enemy		219326
	752271346	vocal02_sm_enemy	C:\Users\fhisc\OneDrive\Documents\Projects\Unity\GlobalGameJam-2022\GGJ22 Team Game\GGJ22 Team Game_WwiseProject\.cache\Mac\SFX\vocal02_sm_enemy_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\EnemySfx\Shout_S_Enemy\vocal02_sm_enemy		219326
	876208911	vocal05_lg_enemy	C:\Users\fhisc\OneDrive\Documents\Projects\Unity\GlobalGameJam-2022\GGJ22 Team Game\GGJ22 Team Game_WwiseProject\.cache\Mac\SFX\vocal05_lg_enemy_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\EnemySfx\Shout_L_Enemy\vocal05_lg_enemy		315952
	916566040	footstep_enemy_02	C:\Users\fhisc\OneDrive\Documents\Projects\Unity\GlobalGameJam-2022\GGJ22 Team Game\GGJ22 Team Game_WwiseProject\.cache\Mac\SFX\footstep_enemy_02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\EnemySfx\Footsteps_Enemy\footstep_enemy_02		96064
	917555558	footstep_enemy_08	C:\Users\fhisc\OneDrive\Documents\Projects\Unity\GlobalGameJam-2022\GGJ22 Team Game\GGJ22 Team Game_WwiseProject\.cache\Mac\SFX\footstep_enemy_08_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\EnemySfx\Footsteps_Enemy\footstep_enemy_08		96064
	1047682843	vocal04_lg_enemy	C:\Users\fhisc\OneDrive\Documents\Projects\Unity\GlobalGameJam-2022\GGJ22 Team Game\GGJ22 Team Game_WwiseProject\.cache\Mac\SFX\vocal04_lg_enemy_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\EnemySfx\Shout_L_Enemy\vocal04_lg_enemy		219326
	1065551191	death_enemy	C:\Users\fhisc\OneDrive\Documents\Projects\Unity\GlobalGameJam-2022\GGJ22 Team Game\GGJ22 Team Game_WwiseProject\.cache\Mac\SFX\death_enemy_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\EnemySfx\death_enemy		108064

